,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category
1354,1235.17046,9.52671,53.5,35.6,43.8,5.55393,336.27469,13
1359,1419.6866699999996,10.88138,53.5,35.6,43.8,5.11261,499.43481,13
1364,1288.37183,9.88889,53.5,36.6,44.8,4.4793400000000005,376.33972,9
1369,1760.55021,13.422629999999998,53.5,36.6,44.8,7.66582,971.03556,4
1374,1634.38282,12.47016,54.5,37.6,45.8,5.99559,763.7506900000002,1
1379,1399.98194,10.78133,54.5,37.6,45.8,5.63085,479.51481,13
1384,1434.39396,10.98943,54.5,37.6,45.8,7.24133,512.7121900000002,10
1389,1284.39473,9.85687,54.5,37.6,45.8,5.69614,367.75044,13
1394,1230.1730300000004,9.39064,54.5,37.6,45.8,5.87778,318.41447,13
1399,1139.61825,8.746319999999999,54.5,37.6,45.8,4.33451,258.68689,5
1404,1153.54517,8.83437,54.5,37.6,44.8,5.12242,265.79681,9
1409,1106.3768699999996,8.43217,53.5,36.6,44.8,3.96853,145.39517,5
1414,1104.54591,8.42817,53.5,36.6,44.8,3.62361,141.90498,5
1419,1100.73405,8.42817,53.5,36.6,43.8,3.9083,174.49455,5
1424,1105.64146,8.42416,52.5,36.6,43.8,3.68842,147.32952,5
1429,1098.7530800000004,8.44617,52.5,35.6,43.8,4.11135,104.7433,5
1434,1094.77606,8.42416,51.5,35.6,42.8,3.295,28.12383,3
1477,1109.03317,8.44617,49.5,34.6,40.8,3.61851,158.43558000000004,5
1482,1123.21514,8.64627,50.5,34.6,40.8,4.8181400000000005,252.16295,9
1487,1100.0437,8.44417,50.5,34.6,40.8,3.73392,143.98811,5
1492,1109.30324,8.436169999999999,51.5,34.6,40.8,3.43068,129.15614,5
1497,1097.8976300000004,8.426160000000001,51.5,34.6,41.8,4.14039,156.11542,5
1502,1107.6074199999996,8.41816,51.5,35.6,41.8,3.44471,168.23984,5
1507,1099.68347,8.42216,52.5,35.6,42.8,3.4504300000000003,96.31385,5
1512,1105.47637,8.420160000000001,52.5,36.6,42.8,2.98536,20.87612,3
1552,1107.36731,8.442169999999999,51.5,35.6,41.8,2.97773,81.67141,3
1763,1099.54847,8.42216,46.5,34.6,36.8,3.31904,77.85213,3
1768,1095.39141,8.44017,47.5,34.6,36.8,2.08902,43.48731,3
1842,1100.88406,8.41816,48.5,35.6,36.8,3.3532300000000004,142.05048,3
1847,1099.56349,8.42216,48.5,35.6,36.8,2.49555,61.55413000000001,3
1852,1097.53747,8.426160000000001,49.5,35.6,37.8,3.71199,88.67623,5
1857,1106.55691,8.42817,49.5,35.6,37.8,2.07538,17.14795,3
1862,1105.97159,8.41216,49.5,35.6,38.8,4.16169,162.78708,5
1867,1100.58397,8.44017,50.5,35.6,38.8,4.06161,188.31784,5
1872,1098.87314,8.43817,50.5,36.6,39.8,2.62153,32.3414,3
1877,1106.19675,8.436169999999999,50.5,36.6,40.8,2.88042,60.51029000000001,3
1882,1108.82303,8.44617,50.5,36.6,40.8,4.08014,75.94723,5
1887,1100.46392,8.42817,51.5,37.6,41.8,2.82166,60.52735,3
1892,1109.15315,8.436169999999999,51.5,37.6,41.8,2.98876,43.14105,3
1897,1099.08321,8.426160000000001,51.5,37.6,42.8,2.67654,4.16279,3
2004,1103.46536,8.454180000000001,49.5,35.6,39.8,5.91562,156.63567,13
2080,1102.4899300000004,8.43217,48.5,35.6,39.8,3.37994,111.78405,3
2085,1098.25779,8.45618,49.5,35.6,39.8,4.0083,103.40941,5
2090,1094.73108,8.43217,49.5,35.6,39.8,2.9824900000000003,81.13067,3
2096,1098.15275,8.42216,50.5,36.6,39.8,3.65704,67.11234,5
2101,1095.79661,8.420160000000001,50.5,36.6,39.8,2.20735,0.49302,3
2107,1111.41934,8.46218,50.5,37.6,40.8,2.3318,79.52991,3
2112,1107.41229,8.442169999999999,51.5,37.6,41.8,3.373,35.27317,3
2117,1101.90469,8.436169999999999,51.5,38.6,41.8,2.65291,34.87428,3
2122,1106.52695,8.426160000000001,51.5,38.6,42.8,2.18773,23.34012,3
2127,1106.84206,8.44017,51.5,39.6,42.8,3.63225,98.34865,5
2132,1109.27328,8.44017,52.5,39.6,43.8,3.97045,176.19803000000005,5
2137,1107.41229,8.41416,52.5,39.6,43.8,3.17145,48.16819,3
2142,1174.93069,9.05247,52.5,39.6,43.8,4.80557,286.0573100000001,9
2147,1099.60846,8.44617,52.5,39.6,43.8,2.65467,40.3176,3
2152,1109.00314,8.57024,52.5,39.6,43.8,3.66129,245.21594,5
2158,1098.78311,8.44617,53.5,39.6,43.8,3.18604,30.62009,3
2164,1099.14327,8.426160000000001,53.5,39.6,43.8,3.77523,148.51573,5
2170,1106.55691,8.436169999999999,53.5,39.6,43.8,4.1969400000000014,79.15249,5
2175,1100.08874,8.42416,53.5,39.6,43.8,4.76471,192.53656,9
2180,1100.1187,8.41816,54.5,39.6,43.8,4.10336,187.55655,5
2185,1274.48996,9.68078,54.5,39.6,43.8,5.34957,351.11394,13
2190,1094.7461,8.43217,55.5,39.6,43.8,4.67842,199.34123,9
2195,1098.88815,8.42216,55.5,39.6,43.8,3.92105,122.96445,5
2200,1132.45973,8.74232,55.5,39.6,43.8,4.16003,258.85211,5
2205,1291.73344,9.89489,55.5,39.6,43.8,5.83661,380.54303,13
2210,1107.89257,8.42817,55.5,38.6,44.8,3.34274,57.07167,3
