Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
1030,1728.11909,13.292570000000001,59.5,34.6,45.8,8.92322,1858.178,1,1.3472561106254282
1035,1749.11443,13.48066,59.5,34.6,45.8,9.79256,1796.7345,3,1.7399522192545251
1040,1748.28915,13.412629999999998,60.5,34.6,45.8,9.011389999999999,1737.76975,1,0.5463493594323977
1045,1747.7036899999994,13.478660000000001,60.5,34.6,45.8,8.42549,1335.51625,12,0.5636068195769244
1050,1738.74432,13.404620000000001,60.5,34.6,45.8,6.14164,1048.11694,13,1.6816444996641602
1055,1759.18452,13.388620000000001,60.5,34.6,45.8,7.5987399999999985,1096.34025,4,0.7129182181687991
1060,1738.41427,13.302570000000001,60.5,34.6,45.8,6.809,914.411,13,1.0154964919608678
1065,1740.63527,13.3566,60.5,34.6,45.8,7.9928300000000005,1058.01613,4,0.8084282633999638
1070,1764.51215,13.424629999999999,61.5,34.6,45.8,7.89175,1224.5266199999999,4,0.4807764809266593
1075,1612.98221,12.35811,61.5,34.6,45.8,7.0732800000000005,741.8693099999997,8,1.4456283624625097
1080,1522.41234,11.62575,61.5,34.6,45.8,5.64624,616.1935,5,1.3788645411713538
1085,1626.90912,12.44615,61.5,34.6,45.8,6.11257,754.91412,13,0.8766775483501936
1090,1705.6679600000002,13.06246,61.5,34.6,45.8,6.98504,878.9123800000001,13,1.2424318761993178
1095,1407.66571,10.78333,60.5,34.6,45.8,5.04504,492.31969000000004,5,1.5598008476778464
1100,1741.04054,13.23054,60.5,34.6,45.8,6.88094,893.98475,13,1.0726456489440723
1105,1743.77178,13.39662,60.5,34.6,45.8,9.01037,1716.64938,1,0.442947669043432
1110,1779.59469,13.5527,61.5,34.6,45.8,9.43191,2052.75337,3,0.7632501509112221
1115,1747.14855,13.43264,62.5,34.6,45.8,10.97487,2058.0091199999997,9,0.5532985170013924
1120,1758.5541600000001,13.45065,62.5,34.6,45.8,10.58192,2057.9425,9,0.7131255714474445
1125,1740.4701,13.382620000000001,62.5,34.6,46.8,11.02719,2061.14363,9,0.6751029342881958
1135,1727.3837600000006,13.298570000000002,63.5,34.6,47.8,8.36876,1265.6,12,1.0449396145098442
1140,1721.8911100000007,13.28256,63.5,34.6,47.8,5.90686,921.2566199999999,13,1.2380457256930342
1145,1721.8010100000001,13.108479999999998,63.5,34.6,47.8,9.83377,2034.3881199999998,3,0.5488498273705361
1150,1768.7442199999994,13.43264,63.5,34.6,47.8,9.2168,1295.3816199999999,12,1.4090115465530249
1155,1747.3137199999999,13.44665,63.5,34.6,48.8,9.14959,1784.39975,1,0.7527313460453915
1160,1744.3571,13.406629999999998,63.5,35.6,48.8,8.19784,1427.53412,12,0.898634051191103
1165,1763.1913600000007,13.424629999999999,63.5,35.6,48.8,9.92649,1770.69275,1,1.5582518465658626
1170,1752.1760100000001,13.422629999999998,63.5,35.6,48.8,9.8013,1992.64388,3,0.3392057684561602
1175,1747.89889,13.394620000000002,63.5,35.6,48.8,9.38793,2056.239,3,0.8644841924760035
1180,1734.42215,13.3566,64.5,35.6,49.8,9.64452,2059.45675,3,0.5747412689195891
